batter_id,player,stand,pitch_type,pitch_name,pa,bbe,air_bbe,hr,barrels,hard_air_bbe,blast_bbe,pulled_air_proxy_bbe,sweet_spot_bbe,max_ev,avg_ev,avg_la,hr_per_pa,barrel_per_pa,barrel_per_bbe,hard_air_per_pa,blast_per_pa,pulled_air_per_bbe,sweet_spot_per_bbe,slate_date,pull_timestamp,data_notes
500743,miguel rojas,R,CH,Changeup,3,7,3,0,0,0,0,0,2,100.8,74.7,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,CU,Curveball,3,3,2,0,0,2,0,2,2,101.2,99.5,12.0,0.0,0.0,0.0,0.6667,0.0,0.6667,0.6667,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,FC,Cutter,5,5,4,0,0,1,0,1,3,101.4,79.16,21.6,0.0,0.0,0.0,0.2,0.0,0.2,0.6,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,FF,4-Seam Fastball,9,18,15,0,0,1,0,3,7,106.1,79.97,30.28,0.0,0.0,0.0,0.1111,0.0,0.1667,0.3889,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,FS,Split-Finger,2,3,2,0,0,0,0,1,1,76.8,60.97,14.33,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,KC,Knuckle Curve,0,1,0,0,0,0,0,0,0,88.6,88.6,-36.0,,,0.0,,,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,SI,Sinker,6,9,6,0,0,1,0,1,1,102.1,91.01,19.0,0.0,0.0,0.0,0.1667,0.0,0.1111,0.1111,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,SL,Slider,4,2,1,0,0,0,0,1,1,74.0,70.65,1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
500743,miguel rojas,R,ST,Sweeper,3,4,4,0,0,1,0,0,2,96.6,80.8,44.5,0.0,0.0,0.0,0.3333,0.0,0.0,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,CH,Changeup,5,7,4,0,0,1,0,1,1,95.3,84.36,19.29,0.0,0.0,0.0,0.2,0.0,0.1429,0.1429,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,CU,Curveball,2,3,2,0,1,2,1,1,1,101.1,84.47,15.33,0.0,0.5,0.3333,1.0,0.5,0.3333,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,FC,Cutter,1,1,1,0,0,0,0,0,0,62.7,62.7,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,FF,4-Seam Fastball,9,12,8,0,0,2,1,0,3,103.8,83.92,24.08,0.0,0.0,0.0,0.2222,0.1111,0.0,0.25,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,SI,Sinker,11,14,12,2,2,5,2,3,4,106.5,87.43,31.21,0.1818,0.1818,0.1429,0.4545,0.1818,0.2143,0.2857,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,SL,Slider,3,5,3,0,0,0,0,0,3,93.6,85.96,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
502671,paul goldschmidt,R,ST,Sweeper,1,3,2,0,0,0,0,0,0,85.7,73.4,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,CH,Changeup,8,12,3,0,0,1,0,2,1,101.1,80.2,-10.67,0.0,0.0,0.0,0.125,0.0,0.1667,0.0833,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,CU,Curveball,3,5,2,0,0,0,0,0,2,96.7,80.08,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,FC,Cutter,9,9,5,1,1,2,2,2,4,107.0,82.6,7.0,0.1111,0.1111,0.1111,0.2222,0.2222,0.2222,0.4444,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,FF,4-Seam Fastball,27,30,24,1,1,6,0,6,9,103.6,85.25,36.07,0.037,0.037,0.0333,0.2222,0.0,0.2,0.3,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,FS,Split-Finger,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,,0.0,0.0,,,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,KC,Knuckle Curve,1,3,1,0,0,0,0,0,1,89.6,78.13,-6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,SI,Sinker,25,34,21,0,0,2,1,6,9,103.1,78.04,13.76,0.0,0.0,0.0,0.08,0.04,0.1765,0.2647,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,SL,Slider,14,20,9,0,0,2,0,3,5,99.2,73.64,-3.25,0.0,0.0,0.0,0.1429,0.0,0.15,0.25,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,ST,Sweeper,13,18,9,0,0,2,0,5,4,100.5,74.87,0.06,0.0,0.0,0.0,0.1538,0.0,0.2778,0.2222,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
514888,josé altuve,R,SV,Slurve,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,,0.0,0.0,,,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,CH,Changeup,6,7,3,1,1,2,1,2,1,107.9,79.94,-2.71,0.1667,0.1667,0.1429,0.3333,0.1667,0.2857,0.1429,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,CU,Curveball,2,2,0,0,0,0,0,0,0,83.6,70.15,-34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,FC,Cutter,2,3,2,0,0,0,0,1,1,93.7,76.63,14.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,FF,4-Seam Fastball,7,19,15,0,0,0,0,1,4,90.2,71.59,29.05,0.0,0.0,0.0,0.0,0.0,0.0526,0.2105,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,FS,Split-Finger,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,,0.0,0.0,,,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,KC,Knuckle Curve,2,1,0,0,0,0,0,0,1,93.4,93.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,SI,Sinker,3,4,3,0,0,0,0,0,0,93.3,72.65,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,SL,Slider,0,1,0,0,0,0,0,0,0,86.4,86.4,-26.0,,,0.0,,,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
516782,starling marte,R,ST,Sweeper,2,4,2,0,1,1,1,1,1,100.4,76.1,3.75,0.0,0.5,0.25,0.5,0.5,0.25,0.25,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,CH,Changeup,8,6,2,0,0,0,0,0,0,96.4,79.35,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,CU,Curveball,1,1,0,0,0,0,0,0,0,98.9,98.9,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,FC,Cutter,2,4,0,0,0,0,0,0,0,103.1,88.88,-19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,FF,4-Seam Fastball,7,11,9,0,0,0,0,0,1,95.3,77.85,33.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,SI,Sinker,3,3,3,0,1,1,1,0,2,100.5,87.93,31.0,0.0,0.3333,0.3333,0.3333,0.3333,0.0,0.6667,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,SL,Slider,3,0,0,0,0,0,0,0,0,,,,0.0,0.0,,0.0,0.0,,,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518595,travis d'arnaud,R,ST,Sweeper,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,CH,Changeup,15,15,10,0,0,2,0,1,4,103.3,85.64,19.47,0.0,0.0,0.0,0.1333,0.0,0.0667,0.2667,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,CU,Curveball,9,11,8,0,0,1,0,2,7,101.6,83.73,13.45,0.0,0.0,0.0,0.1111,0.0,0.1818,0.6364,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,FC,Cutter,7,12,7,0,1,3,1,2,3,105.3,85.14,21.33,0.0,0.1429,0.0833,0.4286,0.1429,0.1667,0.25,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,FF,4-Seam Fastball,35,60,49,0,0,7,0,8,20,105.8,79.55,28.17,0.0,0.0,0.0,0.2,0.0,0.1333,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,FS,Split-Finger,4,5,2,0,0,1,0,1,2,101.9,93.42,0.6,0.0,0.0,0.0,0.25,0.0,0.2,0.4,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,KC,Knuckle Curve,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,,0.0,0.0,,,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,SI,Sinker,21,33,15,0,1,4,1,2,11,102.9,86.26,0.88,0.0,0.0476,0.0303,0.1905,0.0476,0.0606,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,SL,Slider,13,19,14,0,0,3,0,2,3,107.3,79.97,24.53,0.0,0.0,0.0,0.2308,0.0,0.1053,0.1579,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
518692,freddie freeman,L,ST,Sweeper,2,4,4,0,0,0,0,0,2,89.7,78.65,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,CH,Changeup,14,21,15,0,2,4,2,6,6,109.2,85.14,19.33,0.0,0.1429,0.0952,0.2857,0.1429,0.2857,0.2857,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,CU,Curveball,10,14,5,0,0,1,0,1,3,104.3,81.36,-1.64,0.0,0.0,0.0,0.1,0.0,0.0714,0.2143,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,FC,Cutter,13,27,17,0,1,1,0,2,6,99.7,76.9,22.19,0.0,0.0769,0.037,0.0769,0.0,0.0741,0.2222,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,FF,4-Seam Fastball,33,54,43,1,3,11,4,6,21,106.6,84.74,25.06,0.0303,0.0909,0.0556,0.3333,0.1212,0.1111,0.3889,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,FS,Split-Finger,3,4,2,0,0,0,0,0,1,107.1,86.32,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,KC,Knuckle Curve,4,3,2,0,0,0,0,0,0,86.6,77.33,22.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,SI,Sinker,1,6,3,0,0,0,0,0,1,93.5,84.53,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,SL,Slider,16,21,11,0,0,3,0,2,5,98.7,80.92,11.71,0.0,0.0,0.0,0.1875,0.0,0.0952,0.2381,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
521692,salvador pérez,R,ST,Sweeper,8,16,12,1,1,3,1,3,8,107.6,81.21,18.44,0.125,0.125,0.0625,0.375,0.125,0.1875,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
542303,marcell ozuna,R,CH,Changeup,1,2,1,0,0,0,0,0,1,79.9,69.5,-12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
542303,marcell ozuna,R,CU,Curveball,1,1,1,0,0,0,0,0,0,89.4,89.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
542303,marcell ozuna,R,FC,Cutter,1,2,1,0,0,1,0,1,1,98.9,85.9,-7.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
542303,marcell ozuna,R,FF,4-Seam Fastball,0,1,1,0,0,0,0,0,1,75.2,75.2,28.0,,,0.0,,,0.0,1.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
542303,marcell ozuna,R,ST,Sweeper,1,2,1,0,0,1,0,0,1,98.5,85.1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,CH,Changeup,5,6,5,0,0,1,0,2,2,104.3,78.72,17.5,0.0,0.0,0.0,0.2,0.0,0.3333,0.3333,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,CU,Curveball,2,4,3,0,0,1,0,0,1,97.8,73.03,17.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,FC,Cutter,4,3,1,0,0,0,0,0,0,69.5,50.8,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,FF,4-Seam Fastball,14,21,18,0,1,4,0,3,8,107.0,83.8,27.14,0.0,0.0714,0.0476,0.2857,0.0,0.1429,0.381,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,FS,Split-Finger,2,2,0,0,0,0,0,0,0,82.0,77.7,-18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,KC,Knuckle Curve,2,2,1,1,1,1,1,1,1,107.6,93.5,-4.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,SI,Sinker,5,6,4,0,1,3,0,2,4,108.7,91.47,8.0,0.0,0.2,0.1667,0.6,0.0,0.3333,0.6667,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,SL,Slider,14,12,10,0,0,2,0,1,5,100.6,85.67,31.75,0.0,0.0,0.0,0.1429,0.0,0.0833,0.4167,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543510,james mccann,R,ST,Sweeper,3,5,5,0,0,1,1,1,2,102.5,66.8,42.4,0.0,0.0,0.0,0.3333,0.3333,0.2,0.4,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,CH,Changeup,10,9,1,0,0,0,0,1,1,95.2,83.1,-8.11,0.0,0.0,0.0,0.0,0.0,0.1111,0.1111,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,CU,Curveball,6,5,2,0,0,1,0,1,0,100.5,80.44,9.4,0.0,0.0,0.0,0.1667,0.0,0.2,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,FA,Other,1,1,1,0,0,0,0,0,0,86.3,86.3,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,FC,Cutter,11,16,13,1,0,1,0,3,6,96.3,77.49,29.06,0.0909,0.0,0.0,0.0909,0.0,0.1875,0.375,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,FF,4-Seam Fastball,20,29,25,1,1,3,1,8,9,101.1,82.16,38.03,0.05,0.05,0.0345,0.15,0.05,0.2759,0.3103,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,FS,Split-Finger,1,2,1,0,0,0,0,0,1,91.8,83.65,-13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,KC,Knuckle Curve,1,2,0,0,0,0,0,0,0,85.9,84.75,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,SI,Sinker,19,26,12,0,0,3,0,4,5,103.8,89.42,5.96,0.0,0.0,0.0,0.1579,0.0,0.1538,0.1923,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
543760,marcus semien,R,SL,Slider,16,20,7,0,0,1,0,2,3,99.5,80.91,4.45,0.0,0.0,0.0,0.0625,0.0,0.1,0.15,2026-08-31,2026-08-31T17:06:56-04:00,Batter damage by pitch type.
