window_days,batter_id,player,team_recent,stand_recent,pa,bbe,air_bbe,hr,barrels,hard_air_bbe,blast_bbe,pulled_air_proxy_bbe,sweet_spot_bbe,max_ev,avg_ev,avg_la,hr_per_pa,barrel_per_pa,barrel_per_bbe,hard_air_per_pa,blast_per_pa,pulled_air_per_bbe,sweet_spot_per_bbe,slate_date,pull_timestamp,data_notes
7,500743,miguel rojas,LAD,R,10,12,4,0,0,1,0,2,2,100.1,80.17,0.92,0.0,0.0,0.0,0.1,0.0,0.1667,0.1667,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,502671,paul goldschmidt,NYY,R,23,26,17,1,1,4,1,2,8,103.2,79.16,16.12,0.0435,0.0435,0.0385,0.1739,0.0435,0.0769,0.3077,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,514888,josé altuve,HOU,R,26,33,22,3,2,6,1,8,11,107.4,79.51,20.61,0.1154,0.0769,0.0606,0.2308,0.0385,0.2424,0.3333,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,516782,starling marte,KC,R,9,20,10,0,0,1,0,1,6,103.9,82.41,12.55,0.0,0.0,0.0,0.1111,0.0,0.05,0.3,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,518692,freddie freeman,LAD,L,24,38,25,0,0,6,0,5,13,107.4,83.19,19.47,0.0,0.0,0.0,0.25,0.0,0.1316,0.3421,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,521692,salvador pérez,KC,R,30,47,31,1,3,10,2,8,14,108.9,84.61,20.4,0.0333,0.1,0.0638,0.3333,0.0667,0.1702,0.2979,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,542303,marcell ozuna,PIT,R,12,22,15,1,1,3,1,4,7,105.4,85.79,21.23,0.0833,0.0833,0.0455,0.25,0.0833,0.1818,0.3182,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,543309,kyle higashioka,TEX,R,13,20,16,2,1,5,1,5,7,106.7,82.52,25.55,0.1538,0.0769,0.05,0.3846,0.0769,0.25,0.35,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,543510,james mccann,AZ,R,7,9,4,2,1,3,1,2,4,105.5,86.83,-6.22,0.2857,0.1429,0.1111,0.4286,0.1429,0.2222,0.4444,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,543807,george springer,TOR,R,14,22,14,1,2,3,2,4,7,105.3,82.7,12.0,0.0714,0.1429,0.0909,0.2143,0.1429,0.1818,0.3182,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,543877,christian vázquez,HOU,R,10,11,9,1,0,3,1,1,6,103.4,84.74,23.36,0.1,0.0,0.0,0.3,0.1,0.0909,0.5455,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,545121,ildemaro vargas,AZ,L,19,26,13,0,0,4,0,3,8,101.5,89.36,12.46,0.0,0.0,0.0,0.2105,0.0,0.1154,0.3077,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
7,545341,randal grichuk,CWS,R,13,26,18,0,0,1,0,2,5,113.6,80.67,27.96,0.0,0.0,0.0,0.0769,0.0,0.0769,0.1923,2026-07-13,2026-07-13T13:35:31-04:00,Batter rolling HR contact-shape metrics from Statcast.
